Author,Comment,Likes,Published_At,Replies
@latifidris8805,"Check out my hilarious FIRST TIME EVER reaction to Stray Kids &quot; ESCAPE (BANG CHAN &amp; HYUNJIN)&quot; music video!!!<br><a href=""https://www.youtube.com/watch?v=1I0xbviW3Pg"">https://youtu.be/1I0xbviW3Pg?si=HYN4-nuL61bHGGT2</a>",1,2025-03-29T21:05:38Z,0
@no-xh8yl,This is the home for the best fanfic 👌🙂‍↕️,0,2025-03-29T21:05:14Z,0
@Sarahbeh-e1h,WOW!!! THAT WAS INTENSE BUT AWESOME ❤❤❤❤,3,2025-03-29T20:59:04Z,0
@Littlemiss_kitty,Nah this is part 2 of red light 😭😭😭🙏🙏🙏,0,2025-03-29T20:56:23Z,0
@user-UnoCuatroTres,Hyunjin and Chan are so amazing in this mv. This song and mv is a worthy sequel to Red Lights,2,2025-03-29T20:54:25Z,0
@juniorlopez876,Freaking out ……,1,2025-03-29T20:37:24Z,0
@katarzynavavros8550,So they are officially together or...?,0,2025-03-29T20:29:06Z,1
@AngelMarie1993,What a masterpiece!!,2,2025-03-29T20:23:53Z,0
@user-yj1ip6mn3y,Chan cooks as always!! Love everything about this song,3,2025-03-29T20:17:56Z,0
@JustKnifess,I&#39;M NOT SURPRISED BECAUSE I&#39;M DYING WHILE LISTENING TO HYUN-CHAN&#39;S SONGS...,3,2025-03-29T20:11:09Z,0
@VaniaSantos-fw1uz,Historians will call them friends🤪,0,2025-03-29T20:07:45Z,0
@Fanofderin,Red lights Part 2,1,2025-03-29T20:03:43Z,0
@Koval.Kater3,It&#39;s normal that I&#39;m sad about this story...,2,2025-03-29T19:54:01Z,0
@hollyd6842,"Around <a href=""https://www.youtube.com/watch?v=LvCmsOWPwKA&amp;t=167"">2:47</a> you here a woman&#39;s voice saying&quot;I can take them&quot;",0,2025-03-29T19:53:25Z,0
@Øliv3r_On_Pawz,Red lights all over again.. 😿,1,2025-03-29T19:51:50Z,0
@mich_shiro,I LOVE IT SMMMM THANK YOU BANGCHAN AND HYUNJINNN,4,2025-03-29T19:51:15Z,0
@lee_knowsszy,red lights 2.0,1,2025-03-29T19:49:37Z,0
@RosemarySmile,For me the story in this clip is BL story and the lyrics and the clip are about overcoming the hardships of it. Omg I love this concept 😍😍😍,1,2025-03-29T19:35:24Z,0
@minecraftgirl2155,The live performance is so good !pls have dance MV for escape,3,2025-03-29T19:17:12Z,0
@Dannonununu,"LES GRITE MAS QUE LA CHUCHA EL 27/3, LOS AMOOOOOOOOOO",0,2025-03-29T19:15:53Z,0
@elzbietawaega922,You two are the best!❤,2,2025-03-29T19:11:11Z,0
@Cozitsyoutube,The video is giving the singers are giving they all atee,1,2025-03-29T19:09:32Z,0
@Cozitsyoutube,My jaw dropped so many times,1,2025-03-29T19:08:12Z,0
@Cozitsyoutube,Me thinking they were fighting meanwhile they were playing,5,2025-03-29T19:07:20Z,0
@numenius15,"There was news circulating on my YT homepage that Escape had been prepared by Bang Chan for a long time. In my mind, maybe at that time the music was still raw? 🤔 But now I can enjoy the song. It&#39;s so good! Thank you, Bang Chan and Hyunjin!",2,2025-03-29T19:03:53Z,8
@xjangxs,"very sad, cried all the time 10000/1",1,2025-03-29T19:03:34Z,0
@itokianamuriella9923,This is so fruity 😔,0,2025-03-29T19:01:15Z,0
@ZeeAnnie254,"I - lemme go find my inhaler first, I&#39;m breathless!!! 🥵🥵🥵🥵🥵🥵🫠🫠🫠🫠🩵🩵🩵🩵🩵",2,2025-03-29T18:58:07Z,0
@CheyenneBiggerstaff-p1n,Wow i love this song bro,2,2025-03-29T18:54:49Z,0
@Queen.31,"Who else noticed that at exactly 1 minute and <a href=""https://www.youtube.com/watch?v=LvCmsOWPwKA&amp;t=61"">1:01</a>, Elos&#39; hands with chains appear, but both images are from the Red Lights MV? They are 2 very short seconds, but it is absolutely confirmed that it is the nod to the escape being Red Lights 2.0, hahaha.",0,2025-03-29T18:52:40Z,0
@DahliciaGoemaere-t8q,Come with me let’s escape now ❤️❤️❤️❤️❤️❤️😍😍😍😍I luv it,1,2025-03-29T18:48:49Z,0
@stay_forever-v8r,Bang Chan and Hyunjin have a special liking for chains.,3,2025-03-29T18:47:24Z,0
@Academicvictim143,they got a strange obsession with chains i fear,0,2025-03-29T18:34:18Z,0
@Alanastay,THE VOICE OF MY KIWI<br>THE VOICE OF MI WOLF<br>IS PERFECT,6,2025-03-29T18:33:09Z,0
@kirstencampbell07,"Wait a minute, didn&#39;t he have &quot;follow me&quot; and&quot; come with me&quot; On his back for the Railways portion of the show",2,2025-03-29T18:16:25Z,1
@Seungminlover-skz,RED LIGHT 2.0,3,2025-03-29T18:10:47Z,0
@stay96army,Hyunjin is THE perfect embodiment of the word MANIAC!!!,7,2025-03-29T18:04:00Z,0
@krissatvarssaberovs1104,No chance of escaping the gay couple allegations now.,1,2025-03-29T17:59:42Z,0
@EDance-u5v,Who is here after Red Lights❤❤❤,4,2025-03-29T17:53:02Z,0
@Elytiny24,"<a href=""https://www.youtube.com/watch?v=LvCmsOWPwKA&amp;t=80"">1:20</a> THE CHILLS OMG, ALSO THE HUG STOP <a href=""https://www.youtube.com/watch?v=LvCmsOWPwKA&amp;t=154"">2:34</a>",3,2025-03-29T17:50:08Z,0
@Luana-p8x,SOS i love so much is music 🙌🤍🤍✨✨✨✨✨,1,2025-03-29T17:49:05Z,0
@megustabailarylamusica8117,They have to look each other in the live performance when they hold hands,3,2025-03-29T17:48:25Z,0
@lyonn_eats.n.liftzz,BEFORE THE CLIMAX WHATTTT?????,0,2025-03-29T17:39:08Z,0
@Tugbaturker-q1u,the hug is fcking cute,4,2025-03-29T17:37:58Z,0
@Ahxlwbqlbalsnq,Red lights version 2,1,2025-03-29T17:37:35Z,0
@Ilovekpop-143-channnn,"<a href=""https://www.youtube.com/watch?v=LvCmsOWPwKA&amp;t=14"">0:14</a>  THE SKY IS Burning? &quot;MY HART IS BURNING😭😭😭😭😭💗!",3,2025-03-29T17:34:55Z,0
@washifakhan2034,this has me GAGGED,1,2025-03-29T17:29:22Z,0
@numenius15,Feel the rhythm of your heartbeat~<br>♪⁠～⁠(⁠´⁠ε⁠｀⁠ ⁠) <br>So nice!,3,2025-03-29T17:24:14Z,0
@yellanurmadhu7709,i hope they didn&#39;t get so many bruies,1,2025-03-29T17:22:55Z,0
@BinnieMinho1125,Sexy,1,2025-03-29T17:21:59Z,0
@KimMingju-h3y,I can not be the only one who wants a movie starring these two,25,2025-03-29T17:20:16Z,1
@lifetobelived9102,Such a well made video.,3,2025-03-29T17:09:47Z,0
@jjinny19,I’ll never stop talking about how perfect Hyunjin’s vocals and acting skills are❤🔥,12,2025-03-29T17:05:26Z,0
@yourcrazyismynormal,"Does anyone know what the inspiration for this song was? I know everyone&#39;s hype about the bromance elements (and I did notice the werewolf vibe - epic, but I digress). I know it&#39;s been said that their last collaboration Red Lights was based on feeling obsessive about work. I was curious is this was a follow up to that, or if there was something else.",0,2025-03-29T17:00:11Z,1
@besimekaplan3269,Red light 2.0 😂❤❤❤❤,1,2025-03-29T16:59:00Z,0
@gol_juls,Incredibly amazing Hyunjin,3,2025-03-29T16:43:40Z,0
@Monstie_Blink_forever,WHAT IN THE HYUNCHAN AM I WATCHIIGGGG! THIS MASTERPIECE IS SO RED LIGHTS CODED AND AHAHAHH! I CANT EXPLAIN HOW MUCH I LOVE THIS,4,2025-03-29T16:40:20Z,0
@YoriichiTsugikuni_GiyuuTomioka,"<a href=""https://www.youtube.com/watch?v=LvCmsOWPwKA&amp;t=61"">1:01</a> red lights that you?",2,2025-03-29T16:33:47Z,0
@c.1.h.0.a.2.h.5.n,Chris...,1,2025-03-29T16:32:23Z,1
@cheesechild7917,Why am I lowkey scared,0,2025-03-29T16:23:12Z,0
@MeliSánchez-w3f,It looks more like a movie,5,2025-03-29T16:12:34Z,0
@StudywithBristi-b30,It&#39;s the reverse of Red Lights guysssss,1,2025-03-29T16:05:21Z,0
@noneedtoknow2,"this is beautiful, thank you channie &amp; hyunjinnie😭❤️",3,2025-03-29T16:03:31Z,0
@MayaChilchoa321,This is Red light number 2 yassss❤❤❤❤❤,3,2025-03-29T16:03:22Z,0
@DianaOsazenaye,they all level up,1,2025-03-29T15:57:44Z,0
@jorgelyshernandez9023,New red lights,0,2025-03-29T15:54:29Z,0
@smileyy-v4l,Me the entire time : 😮🫨🫡🫢🙏,1,2025-03-29T15:47:54Z,0
@hotlatte-ev2gf,I like this concept,2,2025-03-29T15:46:36Z,0
@druellajinx3558,"Great Song, great Video. :)",3,2025-03-29T15:42:47Z,0
@iluvmybesties11-11,Did anyone else notice that hyunjin was in a shopping cart and then in Burnin Tires MV Changbin was in a shopping cart<br>CONNECTION ANYBODY?,2,2025-03-29T15:37:56Z,0
@kuju2315,We need chan in a movie.<br>His acting is improve so much ❤❤,2,2025-03-29T15:31:07Z,0
@AnniSTAY,They are destroying me like howww can they slay so hard over and over again???,11,2025-03-29T15:30:29Z,0
@hynjinnnies,i can’t stop listening to this song…THANK YOU HYUNCHAN FOR THIS MASTERPIECE❤️,2,2025-03-29T15:25:47Z,0
@AlannaPaixão-y9h,"This mv is simply AMAZING, the ferret and the wolf running towards each other, what a perfect song and MV, my god",3,2025-03-29T15:14:35Z,0
@RUBIESAMATOXICOLMAYAN,Red lights season 2??,0,2025-03-29T14:57:48Z,0
@sprotector3235,"perfect duo, perfect song",3,2025-03-29T14:48:38Z,0
@링쿡-Ambrosia,Thank you&#39;r very much STRAYKIDS.,4,2025-03-29T14:34:04Z,0
@Stay4life77,I think this is red lights pt 2,4,2025-03-29T14:25:04Z,0
@sonalisshorts,The way they hugged and hold each others hand it just remembering me something and it&#39;s made me cry 😭😭😢😢 <br>But after &quot;Red light&quot; &quot;Escape&quot; is the best thing I have ever seen <br>I love it ❤❤❤❤<br>And Hyunjin and chan is my bais and also Felix <br>❤❤❤❤<br>Love it❤,1,2025-03-29T14:20:01Z,0
@ZahraHajabedini-q1p,Bsngchan 😫 I wanna cry over the story. I don&#39;t wanna think about her but u always made me to overthink about all the things that never will happen.,3,2025-03-29T14:16:55Z,0
@Cheoahsongss,We Stays will be waiting for Red Lights 3,7,2025-03-29T14:11:48Z,0
@herdingreindeer7506,IM DYING FROM THIS MASTERPIECE! ALWAYS THE BEST!!!!,3,2025-03-29T14:08:38Z,0
@brookie-o6x7q,"Christopher  hit those HIGH NOTES, well done, our red lights duo is back guys",3,2025-03-29T13:57:05Z,0
@RaHiLa-z6n,Oh my fucking freaking god!!!,4,2025-03-29T13:53:25Z,0
@A_local_stay,Yall certainly like chains 😮,1,2025-03-29T13:52:57Z,0
@bcn-x5h,"Wow..... it&#39;s wonderful, such a masterpiece",5,2025-03-29T13:47:46Z,0
@rajanirana7599,Want hyunjin in drama please 🙏🙏,5,2025-03-29T13:38:01Z,0
@asti_1788.,one &quot;stay&quot; called Hyunjin and Chan&#39;s collaboration &quot;gay sex&quot;. now I understand why...,0,2025-03-29T13:37:06Z,1
@Zarz258,This is fire i love it with all the different music it sounds amazing i would recommend,2,2025-03-29T13:35:54Z,0
